pair,prompt_id,arm,layer,lens_logodds,lens_entropy
1,ale_14_0_u,uncertain,16,-2.2237539291381836,9.213922500610352
1,ale_14_0_u,uncertain,17,-2.8503875732421875,9.988481521606445
1,ale_14_0_u,uncertain,18,-2.9303741455078125,10.263265609741211
1,ale_14_0_u,uncertain,19,-3.3059492111206055,10.107110977172852
1,ale_14_0_u,uncertain,20,-2.976806640625,9.92330551147461
1,ale_14_0_u,uncertain,21,-1.323887825012207,9.301311492919922
1,ale_14_0_u,uncertain,22,-0.34513378143310547,8.027442932128906
1,ale_14_0_u,uncertain,23,0.28409290313720703,7.493556976318359
1,ale_14_0_u,uncertain,24,1.658890724182129,2.542766571044922
1,ale_14_0_u,uncertain,25,1.5888080596923828,4.078454494476318
1,ale_14_0_u,uncertain,26,-0.41398143768310547,6.657232284545898
1,ale_14_0_u,uncertain,-1,-5.75413179397583,1.1365294456481934
1,ale_14_0_c,control,0,-2.8982982635498047,0.7872896194458008
1,ale_14_0_c,control,1,-2.7093076705932617,5.220157623291016
1,ale_14_0_c,control,2,-4.776646614074707,0.11335016787052155
1,ale_14_0_c,control,3,-1.1932868957519531,6.843353748321533
1,ale_14_0_c,control,4,-0.9635848999023438,0.22762393951416016
1,ale_14_0_c,control,5,-0.5093650817871094,9.365968704223633
1,ale_14_0_c,control,6,-2.2023696899414062,6.253251075744629
1,ale_14_0_c,control,7,-3.1338720321655273,1.6054847240447998
1,ale_14_0_c,control,8,-2.0422544479370117,1.8483048677444458
1,ale_14_0_c,control,9,-2.708073616027832,0.8914339542388916
1,ale_14_0_c,control,10,-1.9274425506591797,1.4121456146240234
1,ale_14_0_c,control,11,-3.0682029724121094,0.9315546751022339
1,ale_14_0_c,control,12,-3.1479949951171875,0.8599474430084229
1,ale_14_0_c,control,13,-4.118134498596191,1.8656811714172363
1,ale_14_0_c,control,14,-5.183805465698242,3.1183364391326904
1,ale_14_0_c,control,15,-3.6489429473876953,7.532256126403809
1,ale_14_0_c,control,16,-2.6456527709960938,1.0962315797805786
1,ale_14_0_c,control,17,-2.675909996032715,9.11600399017334
1,ale_14_0_c,control,18,-3.622821807861328,9.903695106506348
1,ale_14_0_c,control,19,-2.442013740539551,10.044534683227539
1,ale_14_0_c,control,20,-3.300478935241699,9.851367950439453
1,ale_14_0_c,control,21,-1.4968557357788086,9.604318618774414
1,ale_14_0_c,control,22,-0.979762077331543,8.963543891906738
1,ale_14_0_c,control,23,-0.8105678558349609,7.197842597961426
1,ale_14_0_c,control,24,-1.9934978485107422,5.344814300537109
1,ale_14_0_c,control,25,-4.71122932434082,2.0134189128875732
1,ale_14_0_c,control,26,-6.847865104675293,2.535946846008301
1,ale_14_0_c,control,-1,-16.058612823486328,4.993340189685114e-05
2,ale_19_0_u,uncertain,0,-2.7696151733398438,0.8960337042808533
2,ale_19_0_u,uncertain,1,-2.6206159591674805,5.897233009338379
2,ale_19_0_u,uncertain,2,-4.541852951049805,0.13500963151454926
2,ale_19_0_u,uncertain,3,-1.2229509353637695,7.329946041107178
2,ale_19_0_u,uncertain,4,-0.9940195083618164,0.4076898694038391
2,ale_19_0_u,uncertain,5,-0.526092529296875,9.129042625427246
2,ale_19_0_u,uncertain,6,-2.211228370666504,7.377509593963623
2,ale_19_0_u,uncertain,7,-3.34641170501709,1.7881124019622803
2,ale_19_0_u,uncertain,8,-2.0744619369506836,2.098431348800659
2,ale_19_0_u,uncertain,9,-2.058542251586914,0.46971458196640015
2,ale_19_0_u,uncertain,10,-1.8771839141845703,1.6138176918029785
2,ale_19_0_u,uncertain,11,-2.981006622314453,1.3294814825057983
2,ale_19_0_u,uncertain,12,-3.229252815246582,1.3170523643493652
2,ale_19_0_u,uncertain,13,-3.9412317276000977,4.3544511795043945
2,ale_19_0_u,uncertain,14,-4.023624897003174,8.689350128173828
2,ale_19_0_u,uncertain,15,-2.2501049041748047,9.93504810333252
2,ale_19_0_u,uncertain,16,-1.0395479202270508,10.030193328857422
2,ale_19_0_u,uncertain,17,-1.4404792785644531,10.2448148727417
2,ale_19_0_u,uncertain,18,-3.008237838745117,10.154829025268555
2,ale_19_0_u,uncertain,19,-3.303121566772461,9.906082153320312
2,ale_19_0_u,uncertain,20,-3.2904396057128906,9.410900115966797
2,ale_19_0_u,uncertain,21,-1.7532873153686523,9.305176734924316
2,ale_19_0_u,uncertain,22,-0.6975088119506836,8.863750457763672
2,ale_19_0_u,uncertain,23,-0.35715484619140625,8.285344123840332
2,ale_19_0_u,uncertain,24,-0.07615947723388672,7.678558826446533
2,ale_19_0_u,uncertain,25,-0.6499423980712891,6.6123151779174805
2,ale_19_0_u,uncertain,26,-2.1653881072998047,7.647364616394043
2,ale_19_0_u,uncertain,-1,-10.722164154052734,0.8266869783401489
2,ale_19_0_c,control,0,-2.8401002883911133,0.8975585699081421
2,ale_19_0_c,control,1,-2.69747257232666,5.089338302612305
2,ale_19_0_c,control,2,-4.648517608642578,0.12821649014949799
2,ale_19_0_c,control,3,-1.2268762588500977,6.721035480499268
2,ale_19_0_c,control,4,-1.003286361694336,0.3487955927848816
2,ale_19_0_c,control,5,-0.5555505752563477,9.267549514770508
2,ale_19_0_c,control,6,-2.2979869842529297,6.1022114753723145
2,ale_19_0_c,control,7,-3.2032289505004883,1.4132797718048096
2,ale_19_0_c,control,8,-1.9027700424194336,1.8321884870529175
2,ale_19_0_c,control,9,-2.4829788208007812,0.4035407602787018
2,ale_19_0_c,control,10,-1.822336196899414,1.5526789426803589
2,ale_19_0_c,control,11,-2.703707695007324,1.1510577201843262
2,ale_19_0_c,control,12,-2.7357330322265625,1.0599433183670044
2,ale_19_0_c,control,13,-3.9828977584838867,1.9693127870559692
2,ale_19_0_c,control,14,-4.902738571166992,4.096079349517822
2,ale_19_0_c,control,15,-3.2407875061035156,6.8586626052856445
2,ale_19_0_c,control,16,-1.7434091567993164,2.2419066429138184
2,ale_19_0_c,control,17,-2.2047042846679688,9.708260536193848
2,ale_19_0_c,control,18,-3.7052812576293945,9.831838607788086
2,ale_19_0_c,control,19,-2.471954345703125,9.974809646606445
2,ale_19_0_c,control,20,-2.851461410522461,9.48501968383789
2,ale_19_0_c,control,21,-1.3926124572753906,9.252556800842285
2,ale_19_0_c,control,22,0.1805591583251953,8.833822250366211
2,ale_19_0_c,control,23,-0.5619850158691406,8.196861267089844
2,ale_19_0_c,control,24,-1.5854558944702148,7.431262016296387
2,ale_19_0_c,control,25,-5.62808895111084,2.913127899169922
2,ale_19_0_c,control,26,-8.377191543579102,7.208125591278076
2,ale_19_0_c,control,-1,-18.40489387512207,0.0008350094431079924
3,ale_05_0_u,uncertain,0,-2.844210624694824,0.8851718306541443
3,ale_05_0_u,uncertain,1,-2.7258167266845703,5.184942722320557
3,ale_05_0_u,uncertain,2,-4.709769248962402,0.09929307550191879
3,ale_05_0_u,uncertain,3,-1.1892013549804688,6.784151554107666
3,ale_05_0_u,uncertain,4,-1.0463800430297852,0.3066195547580719
3,ale_05_0_u,uncertain,5,-0.582972526550293,8.79416275024414
3,ale_05_0_u,uncertain,6,-2.1480159759521484,6.637609004974365
3,ale_05_0_u,uncertain,7,-3.055111885070801,1.7740870714187622
3,ale_05_0_u,uncertain,8,-1.8201045989990234,2.1343321800231934
3,ale_05_0_u,uncertain,9,-2.027346611022949,0.5404419898986816
3,ale_05_0_u,uncertain,10,-1.6677227020263672,1.5891509056091309
3,ale_05_0_u,uncertain,11,-2.575291633605957,1.0563961267471313
3,ale_05_0_u,uncertain,12,-2.3933629989624023,1.370280385017395
3,ale_05_0_u,uncertain,13,-4.003830909729004,2.726303815841675
3,ale_05_0_u,uncertain,14,-4.441770076751709,8.109394073486328
3,ale_05_0_u,uncertain,15,-2.837368965148926,10.028897285461426
3,ale_05_0_u,uncertain,16,-2.0775585174560547,9.72109603881836
3,ale_05_0_u,uncertain,17,-2.591719627380371,9.708768844604492
3,ale_05_0_u,uncertain,18,-3.6710262298583984,9.839620590209961
3,ale_05_0_u,uncertain,19,-4.1080121994018555,9.602758407592773
3,ale_05_0_u,uncertain,20,-3.960249900817871,9.13251781463623
3,ale_05_0_u,uncertain,21,-1.3189983367919922,8.738653182983398
3,ale_05_0_u,uncertain,22,-1.4255619049072266,8.224573135375977
3,ale_05_0_u,uncertain,23,-0.5589094161987305,6.251193523406982
3,ale_05_0_u,uncertain,24,0.26708984375,4.151278972625732
3,ale_05_0_u,uncertain,25,0.13835906982421875,1.0771160125732422
3,ale_05_0_u,uncertain,26,0.6668529510498047,1.820548415184021
3,ale_05_0_u,uncertain,-1,-3.5444326400756836,0.5333644151687622
3,ale_05_0_c,control,0,-2.8815622329711914,0.8341836929321289
3,ale_05_0_c,control,1,-2.7421159744262695,5.091656684875488
3,ale_05_0_c,control,2,-4.744355201721191,0.11041988432407379
3,ale_05_0_c,control,3,-1.210968017578125,6.622193336486816
3,ale_05_0_c,control,4,-1.0625066757202148,0.2843348979949951
3,ale_05_0_c,control,5,-0.6324634552001953,9.257708549499512
3,ale_05_0_c,control,6,-2.3395748138427734,6.472273349761963
3,ale_05_0_c,control,7,-3.210996627807617,1.547500491142273
3,ale_05_0_c,control,8,-1.972905158996582,1.9202672243118286
3,ale_05_0_c,control,9,-2.8821401596069336,0.6336027979850769
3,ale_05_0_c,control,10,-2.0678539276123047,1.4733129739761353
3,ale_05_0_c,control,11,-3.0910558700561523,0.9500004053115845
3,ale_05_0_c,control,12,-3.1292619705200195,1.1862295866012573
3,ale_05_0_c,control,13,-4.327095031738281,2.1562633514404297
3,ale_05_0_c,control,14,-5.2863898277282715,5.279135704040527
3,ale_05_0_c,control,15,-3.6855525970458984,9.065531730651855
3,ale_05_0_c,control,16,-2.7467565536499023,2.913666009902954
3,ale_05_0_c,control,17,-2.8500280380249023,9.18774127960205
3,ale_05_0_c,control,18,-4.091963768005371,9.710101127624512
3,ale_05_0_c,control,19,-3.014857292175293,9.885597229003906
3,ale_05_0_c,control,20,-4.134404182434082,9.044779777526855
3,ale_05_0_c,control,21,-2.809309959411621,8.477106094360352
3,ale_05_0_c,control,22,-1.0803966522216797,7.596134662628174
3,ale_05_0_c,control,23,-0.7216787338256836,3.1786537170410156
3,ale_05_0_c,control,24,-0.3885469436645508,5.837067604064941
3,ale_05_0_c,control,25,-2.2802419662475586,0.23531636595726013
3,ale_05_0_c,control,26,-3.0845699310302734,0.20302365720272064
3,ale_05_0_c,control,-1,-7.176595211029053,0.012978487648069859
4,ale_14_3_u,uncertain,0,-2.888113021850586,0.8703230619430542
4,ale_14_3_u,uncertain,1,-2.6816749572753906,5.423525333404541
4,ale_14_3_u,uncertain,2,-4.6888628005981445,0.09460099041461945
4,ale_14_3_u,uncertain,3,-1.22808837890625,7.534626007080078
4,ale_14_3_u,uncertain,4,-0.9925327301025391,0.1890944540500641
4,ale_14_3_u,uncertain,5,-0.60382080078125,9.072624206542969
4,ale_14_3_u,uncertain,6,-2.0241012573242188,2.6099417209625244
4,ale_14_3_u,uncertain,7,-2.7909936904907227,1.1265392303466797
4,ale_14_3_u,uncertain,8,-2.2489852905273438,1.419547200202942
4,ale_14_3_u,uncertain,9,-1.8804473876953125,1.5934836864471436
4,ale_14_3_u,uncertain,10,-1.7092609405517578,1.7160803079605103
4,ale_14_3_u,uncertain,11,-3.2983131408691406,1.3428148031234741
4,ale_14_3_u,uncertain,12,-2.9330902099609375,1.5778666734695435
4,ale_14_3_u,uncertain,13,-3.5552444458007812,2.835029363632202
4,ale_14_3_u,uncertain,14,-4.602773666381836,7.419641017913818
4,ale_14_3_u,uncertain,15,-2.5655927658081055,9.964043617248535
4,ale_14_3_u,uncertain,16,-2.5254383087158203,8.899328231811523
4,ale_14_3_u,uncertain,17,-3.047588348388672,9.463172912597656
4,ale_14_3_u,uncertain,18,-3.25091552734375,10.318594932556152
4,ale_14_3_u,uncertain,19,-3.6593103408813477,10.118353843688965
4,ale_14_3_u,uncertain,20,-4.21009635925293,9.852782249450684
4,ale_14_3_u,uncertain,21,-2.86367130279541,9.228858947753906
4,ale_14_3_u,uncertain,22,-1.8106861114501953,8.049060821533203
4,ale_14_3_u,uncertain,23,-1.2600812911987305,7.9942803382873535
4,ale_14_3_u,uncertain,24,0.08238506317138672,5.922002792358398
4,ale_14_3_u,uncertain,25,1.156599998474121,4.891742706298828
4,ale_14_3_u,uncertain,26,0.7877101898193359,7.263190746307373
4,ale_14_3_u,uncertain,-1,-3.3913838863372803,1.0689632892608643
4,ale_14_3_c,control,0,-2.9525442123413086,0.8487879037857056
4,ale_14_3_c,control,1,-2.7433605194091797,5.104692459106445
4,ale_14_3_c,control,2,-4.7248382568359375,0.09564100205898285
4,ale_14_3_c,control,3,-1.2909841537475586,7.296158313751221
4,ale_14_3_c,control,4,-1.0033884048461914,0.26194629073143005
4,ale_14_3_c,control,5,-0.648686408996582,9.210996627807617
4,ale_14_3_c,control,6,-2.258864402770996,2.978018045425415
4,ale_14_3_c,control,7,-2.90358829498291,0.7573840618133545
4,ale_14_3_c,control,8,-2.0979928970336914,0.9743808507919312
4,ale_14_3_c,control,9,-2.2962779998779297,0.46729499101638794
4,ale_14_3_c,control,10,-1.8085403442382812,1.723451852798462
4,ale_14_3_c,control,11,-3.2547216415405273,1.0142797231674194
4,ale_14_3_c,control,12,-3.0742874145507812,1.03538978099823
4,ale_14_3_c,control,13,-4.05723762512207,2.354710102081299
4,ale_14_3_c,control,14,-5.391471862792969,3.127396583557129
4,ale_14_3_c,control,15,-3.543703079223633,8.215383529663086
4,ale_14_3_c,control,16,-2.6154956817626953,1.5494390726089478
4,ale_14_3_c,control,17,-2.9301652908325195,8.382752418518066
4,ale_14_3_c,control,18,-4.13491153717041,9.882460594177246
4,ale_14_3_c,control,19,-2.9017839431762695,10.144671440124512
4,ale_14_3_c,control,20,-3.8978452682495117,9.907356262207031
4,ale_14_3_c,control,21,-2.375272750854492,9.638689041137695
4,ale_14_3_c,control,22,-1.6612052917480469,9.06283187866211
4,ale_14_3_c,control,23,-1.2710790634155273,7.412756443023682
4,ale_14_3_c,control,24,-2.1677322387695312,5.441606521606445
4,ale_14_3_c,control,25,-4.395210266113281,4.329087257385254
4,ale_14_3_c,control,26,-6.951827526092529,5.680510997772217
4,ale_14_3_c,control,-1,-16.737163543701172,0.0001658832625253126
5,ale_18_1_u,uncertain,0,-2.8710899353027344,0.8551788330078125
5,ale_18_1_u,uncertain,1,-2.7039976119995117,6.149795055389404
5,ale_18_1_u,uncertain,2,-4.675595283508301,0.10622461140155792
5,ale_18_1_u,uncertain,3,-1.3648996353149414,7.019872665405273
5,ale_18_1_u,uncertain,4,-1.3594589233398438,0.09825224429368973
5,ale_18_1_u,uncertain,5,-1.1761627197265625,7.465799808502197
5,ale_18_1_u,uncertain,6,-2.8630313873291016,3.1082613468170166
5,ale_18_1_u,uncertain,7,-3.497516632080078,0.8507680296897888
5,ale_18_1_u,uncertain,8,-1.9809179306030273,1.6364240646362305
5,ale_18_1_u,uncertain,9,-2.0269775390625,2.1878628730773926
5,ale_18_1_u,uncertain,10,-1.783442497253418,1.5058908462524414
5,ale_18_1_u,uncertain,11,-2.9471492767333984,1.1304327249526978
5,ale_18_1_u,uncertain,12,-2.7856836318969727,1.6232380867004395
5,ale_18_1_u,uncertain,13,-3.7786951065063477,4.982132911682129
5,ale_18_1_u,uncertain,14,-4.3762712478637695,8.559455871582031
5,ale_18_1_u,uncertain,15,-2.2332935333251953,10.457468032836914
5,ale_18_1_u,uncertain,16,-2.3848323822021484,10.417426109313965
5,ale_18_1_u,uncertain,17,-1.770355224609375,10.58222484588623
5,ale_18_1_u,uncertain,18,-2.002882957458496,10.444351196289062
5,ale_18_1_u,uncertain,19,-2.23915958404541,10.196462631225586
5,ale_18_1_u,uncertain,20,-1.8152856826782227,9.692651748657227
5,ale_18_1_u,uncertain,21,-1.0277013778686523,8.88668155670166
5,ale_18_1_u,uncertain,22,-1.0022010803222656,5.275562763214111
5,ale_18_1_u,uncertain,23,-1.0250310897827148,6.860346794128418
5,ale_18_1_u,uncertain,24,0.6047573089599609,7.345526695251465
5,ale_18_1_u,uncertain,25,-0.7493886947631836,6.678717136383057
5,ale_18_1_u,uncertain,26,-0.17540359497070312,7.62863826751709
5,ale_18_1_u,uncertain,-1,-4.66856575012207,0.8451274037361145
5,ale_18_1_c,control,0,-2.863748550415039,0.9055508971214294
5,ale_18_1_c,control,1,-2.6317548751831055,6.2363762855529785
5,ale_18_1_c,control,2,-4.682768821716309,0.090613953769207
5,ale_18_1_c,control,3,-1.4258975982666016,6.764425754547119
5,ale_18_1_c,control,4,-1.3988018035888672,0.14617784321308136
5,ale_18_1_c,control,5,-1.114090919494629,8.714825630187988
5,ale_18_1_c,control,6,-2.7032480239868164,3.6853418350219727
5,ale_18_1_c,control,7,-3.4675941467285156,0.9288127422332764
5,ale_18_1_c,control,8,-2.62384033203125,1.1385798454284668
5,ale_18_1_c,control,9,-2.4855880737304688,2.4756195545196533
5,ale_18_1_c,control,10,-2.0861377716064453,1.2539921998977661
5,ale_18_1_c,control,11,-3.57232666015625,1.4023284912109375
5,ale_18_1_c,control,12,-3.4041080474853516,1.7399603128433228
5,ale_18_1_c,control,13,-3.701601982116699,5.218753337860107
5,ale_18_1_c,control,14,-4.673525810241699,8.74510669708252
5,ale_18_1_c,control,15,-2.2629823684692383,10.505889892578125
5,ale_18_1_c,control,16,-2.434990882873535,10.524471282958984
5,ale_18_1_c,control,17,-2.980905532836914,10.514724731445312
5,ale_18_1_c,control,18,-3.6124916076660156,10.43455696105957
5,ale_18_1_c,control,19,-3.220026969909668,10.131630897521973
5,ale_18_1_c,control,20,-3.1942052841186523,9.459064483642578
5,ale_18_1_c,control,21,-2.046217918395996,8.920821189880371
5,ale_18_1_c,control,22,-0.6134252548217773,7.627105712890625
5,ale_18_1_c,control,23,-0.4376716613769531,4.389406204223633
5,ale_18_1_c,control,24,0.8175544738769531,5.715448379516602
5,ale_18_1_c,control,25,0.6320962905883789,6.361242771148682
5,ale_18_1_c,control,26,-0.3749237060546875,8.074338912963867
5,ale_18_1_c,control,-1,-2.231466293334961,0.046260807663202286
6,ale_05_2_u,uncertain,0,-2.9179039001464844,1.0264371633529663
6,ale_05_2_u,uncertain,1,-2.848651885986328,4.774381637573242
6,ale_05_2_u,uncertain,2,-4.731340408325195,0.08517646044492722
6,ale_05_2_u,uncertain,3,-1.2162961959838867,6.917787551879883
6,ale_05_2_u,uncertain,4,-1.1176252365112305,0.33021560311317444
6,ale_05_2_u,uncertain,5,-0.7074995040893555,8.224042892456055
6,ale_05_2_u,uncertain,6,-2.222102165222168,3.9846253395080566
6,ale_05_2_u,uncertain,7,-2.77016544342041,1.4680184125900269
6,ale_05_2_u,uncertain,8,-1.8256425857543945,1.9164459705352783
6,ale_05_2_u,uncertain,9,-1.5494613647460938,0.9682174921035767
6,ale_05_2_u,uncertain,10,-1.3882570266723633,1.820003628730774
6,ale_05_2_u,uncertain,11,-2.384974479675293,1.6335231065750122
6,ale_05_2_u,uncertain,12,-2.384458541870117,1.898880958557129
6,ale_05_2_u,uncertain,13,-3.666332244873047,2.11445689201355
6,ale_05_2_u,uncertain,14,-4.627261638641357,6.662777900695801
6,ale_05_2_u,uncertain,15,-2.6568422317504883,10.146455764770508
6,ale_05_2_u,uncertain,16,-1.8927478790283203,9.83507251739502
6,ale_05_2_u,uncertain,17,-1.5659008026123047,9.986388206481934
6,ale_05_2_u,uncertain,18,-2.3032007217407227,10.217645645141602
6,ale_05_2_u,uncertain,19,-3.0224523544311523,9.961437225341797
6,ale_05_2_u,uncertain,20,-3.276848793029785,9.516641616821289
6,ale_05_2_u,uncertain,21,-1.5106267929077148,9.125181198120117
6,ale_05_2_u,uncertain,22,-1.999079704284668,8.709264755249023
6,ale_05_2_u,uncertain,23,-1.779047966003418,7.078119277954102
6,ale_05_2_u,uncertain,24,-1.235274314880371,5.398451805114746
6,ale_05_2_u,uncertain,25,-1.2227306365966797,1.7649317979812622
6,ale_05_2_u,uncertain,26,0.6354551315307617,2.2359213829040527
6,ale_05_2_u,uncertain,-1,-2.0817394256591797,0.667371928691864
6,ale_05_2_c,control,0,-2.9560699462890625,0.9855968952178955
6,ale_05_2_c,control,1,-2.8551692962646484,4.816817760467529
6,ale_05_2_c,control,2,-4.819675445556641,0.08248762041330338
6,ale_05_2_c,control,3,-1.248530387878418,6.7428107261657715
6,ale_05_2_c,control,4,-1.1389656066894531,0.31671032309532166
6,ale_05_2_c,control,5,-0.7544879913330078,8.619396209716797
6,ale_05_2_c,control,6,-2.4474239349365234,4.102503299713135
6,ale_05_2_c,control,7,-2.922348976135254,1.6194201707839966
6,ale_05_2_c,control,8,-2.084652900695801,1.7383513450622559
6,ale_05_2_c,control,9,-2.4179458618164062,0.9198227524757385
6,ale_05_2_c,control,10,-1.7633886337280273,1.508696436882019
6,ale_05_2_c,control,11,-2.9675092697143555,1.525390386581421
6,ale_05_2_c,control,12,-2.6277084350585938,1.1252572536468506
6,ale_05_2_c,control,13,-3.9356861114501953,1.9899027347564697
6,ale_05_2_c,control,14,-5.679620742797852,3.356882333755493
6,ale_05_2_c,control,15,-3.930882453918457,9.67630672454834
6,ale_05_2_c,control,16,-3.3587799072265625,9.012906074523926
6,ale_05_2_c,control,17,-3.0660362243652344,9.373270988464355
6,ale_05_2_c,control,18,-3.4953365325927734,10.20376205444336
6,ale_05_2_c,control,19,-1.9680852890014648,10.09804916381836
6,ale_05_2_c,control,20,-2.900909423828125,9.506267547607422
6,ale_05_2_c,control,21,-2.1167421340942383,8.87618350982666
6,ale_05_2_c,control,22,-1.3165578842163086,8.27974796295166
6,ale_05_2_c,control,23,-1.2947235107421875,5.283598899841309
6,ale_05_2_c,control,24,0.32158374786376953,6.766720771789551
6,ale_05_2_c,control,25,-1.074331283569336,0.18142226338386536
6,ale_05_2_c,control,26,-2.2521791458129883,0.12633676826953888
6,ale_05_2_c,control,-1,-6.343103408813477,0.00037696046638302505
7,ale_08_3_u,uncertain,0,-2.900883674621582,0.788374125957489
7,ale_08_3_u,uncertain,1,-2.7198944091796875,5.221760272979736
7,ale_08_3_u,uncertain,2,-4.645859718322754,0.11357636749744415
7,ale_08_3_u,uncertain,3,-1.2359399795532227,7.452770233154297
7,ale_08_3_u,uncertain,4,-0.9832582473754883,0.35400688648223877
7,ale_08_3_u,uncertain,5,-0.6275081634521484,9.275284767150879
7,ale_08_3_u,uncertain,6,-2.242582321166992,4.077881336212158
7,ale_08_3_u,uncertain,7,-2.7827634811401367,0.9677672982215881
7,ale_08_3_u,uncertain,8,-1.9455232620239258,1.4534382820129395
7,ale_08_3_u,uncertain,9,-1.7428817749023438,0.8993390202522278
7,ale_08_3_u,uncertain,10,-1.9257802963256836,1.52993905544281
